OBJECTID,SITEID,NAME,WEB_PAGE,BOAT FACILITY,CAMPING,HUNTING,PDFMAP,HUNT_ACCESS,ACRES,LATITUDE,LONGITUDE,MGMT_ID,x,y
38800,280683,Erskine,https://myfwp.mt.gov/fishMT/fas/39754153,No Boat Facilities,No,HUNTING ALLOWED,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754153.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,428,47.01348,-114.28484,39754153,-12722131.7598,5944276.4698
38801,282142,Willow Creek Reservoir,https://myfwp.mt.gov/fishMT/fas/39753628,Ramp (Concrete),Yes,HUNTING ALLOWED,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39753628.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,1395,47.5478,-112.44045,39753628,-12516814.7325,6031953.089
38802,6872358,Fort Logan,https://myfwp.mt.gov/fishMT/fas/39754579,No Boat Facilities,Yes,HUNTING ALLOWED,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754579.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,,46.74513695,-111.17401085,39754579,-12375835.6785,5900573.7932
38803,280660,Tucker Crossing,https://myfwp.mt.gov/fishMT/fas/39754143,Ramp (Concrete),No,HUNTING ALLOWED,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754143.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,251,46.36838,-114.13737,39754143,-12705714.8493,5839580.8081
38804,39337895,Daigles Eddy,https://myfwp.mt.gov/fishMT/fas/39753906,No Boat Facilities,Yes,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39753906.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,0,46.93979,-113.63484,39753906,-12650656.53,5930936.23
38805,39337884,Belmont Creek,https://myfwp.mt.gov/fishMT/fas/39753900,No Boat Facilities,Yes,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39753900.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,0,46.9533,-113.56656,39753900,-12642543.4277,5934991.9607
38806,39337888,Thibodeau,https://myfwp.mt.gov/fishMT/fas/39753904,No Boat Facilities,Yes,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39753904.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,0,46.95252,-113.61191,39753904,-12646699.7896,5933985.8377
38807,39337886,Whitaker Bridge,https://myfwp.mt.gov/fishMT/fas/39753902,Ramp (Concrete),Yes,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39753902.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,0,46.94277,-113.59983,39753902,-12646006.1576,5932763.0301
38808,8436263,Kookoosint,https://myfwp.mt.gov/fishMT/fas/39754611,No Boat Facilities,Yes,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754611.pdf,,2,47.34365,-114.7084,39754611,-12769282.4364,5998348.3656
38809,282139,Spring Creek,https://myfwp.mt.gov/fishMT/fas/39753626,No Boat Facilities,No,HUNTING ALLOWED,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39753626.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,78,47.02936,-109.38066,39753626,-12176200.2423,5946868.3018
38810,282674,Truly Bridge,https://myfwp.mt.gov/fishMT/fas/39753736,No Boat Facilities,No,HUNTING ALLOWED,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39753736.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,,47.35454458,-111.43702962,39753736,-12405114.8147,6000139.1142
